TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount_bin,Target
334.89,1,13,2,21.0,3,260.0,1.0,1661.68,Tinggi,4
319.27,0,29,2,54.0,2,59.0,1.0,5504.01,Tinggi,1
144.3,1,28,0,18.0,3,88.0,1.0,312.19,Sedang,3
348.7,0,14,1,69.0,2,149.0,1.0,2445.58,Tinggi,1
366.21,1,28,0,62.0,0,181.0,1.0,10862.99,Tinggi,2
99.11,1,30,2,55.0,2,12.0,1.0,5414.87,Sedang,1
539.35,1,25,0,55.0,2,127.0,1.0,3919.44,Sangat Tinggi,0
188.99,1,28,1,58.0,1,92.0,1.0,7315.34,Sedang,1
710.14,1,12,0,26.0,3,227.0,1.0,465.63,Sangat Tinggi,0
308.68,1,25,2,53.0,0,170.0,1.0,9992.36,Tinggi,2
166.68,1,23,0,57.0,2,139.0,1.0,5141.19,Sedang,1
66.58,1,33,1,23.0,3,79.0,1.0,1636.32,Rendah,3
223.43,1,9,1,77.0,2,178.0,1.0,7932.41,Tinggi,1
659.95,1,11,2,60.0,1,114.0,1.0,3927.69,Sangat Tinggi,0
634.86,1,6,0,27.0,3,45.0,1.0,588.5,Sangat Tinggi,0
286.5,0,4,1,30.0,1,60.0,1.0,8517.95,Tinggi,2
322.96,0,30,1,76.0,2,168.0,1.0,2401.59,Tinggi,1
654.48,1,8,1,19.0,3,114.0,1.0,6776.41,Sangat Tinggi,0
157.97,1,30,1,48.0,0,140.0,1.0,5529.92,Sedang,1
254.77,1,10,1,57.0,1,57.0,1.0,5994.87,Tinggi,1
795.96,1,33,2,65.0,2,119.0,1.0,5468.58,Sangat Tinggi,0
149.25,1,29,0,39.0,1,142.0,1.0,5677.52,Sedang,2
68.19,0,14,2,40.0,0,189.0,1.0,9895.1,Rendah,2
37.57,1,12,0,57.0,2,42.0,1.0,7739.54,Rendah,1
448.33,1,1,0,25.0,3,161.0,1.0,922.19,Sangat Tinggi,3
8.65,1,19,2,48.0,0,273.0,1.0,10778.35,Rendah,4
539.81,1,37,2,46.0,1,177.0,1.0,2051.25,Sangat Tinggi,0
363.53,1,18,0,63.0,2,142.0,1.0,1038.91,Tinggi,1
64.9,0,11,1,51.0,2,72.0,1.0,6854.61,Rendah,1
358.18,1,4,0,18.0,3,157.0,1.0,619.86,Tinggi,3
167.2,1,35,1,30.0,0,84.0,1.0,11320.83,Sedang,2
121.91,1,6,1,60.0,0,133.0,1.0,14510.8,Sedang,2
137.57,1,21,2,54.0,1,70.0,1.0,5103.67,Sedang,1
534.62,1,28,2,55.0,0,45.0,1.0,13793.53,Sangat Tinggi,2
463.92,1,23,2,50.0,1,199.0,1.0,2403.39,Sangat Tinggi,4
320.14,1,25,2,60.0,2,96.0,1.0,3075.97,Tinggi,1
214.93,1,0,2,28.0,3,52.0,1.0,7835.4,Tinggi,2
660.02,1,26,1,20.0,3,84.0,1.0,414.43,Sangat Tinggi,0
345.81,1,33,1,40.0,1,135.0,1.0,6116.8,Tinggi,2
143.54,1,30,0,71.0,2,80.0,1.0,6067.62,Sedang,1
541.79,1,23,0,22.0,3,125.0,1.0,1454.08,Sangat Tinggi,0
40.57,1,8,1,26.0,3,63.0,1.0,1476.91,Rendah,3
498.67,1,24,2,28.0,3,244.0,1.0,1719.97,Sangat Tinggi,4
227.22,1,12,0,53.0,0,220.0,1.0,832.82,Tinggi,4
59.44,1,6,2,35.0,1,176.0,1.0,5472.03,Rendah,4
230.46,1,23,2,19.0,3,179.0,1.0,162.53,Tinggi,3
65.09,0,39,2,44.0,1,159.0,1.0,9370.9,Rendah,2
457.09,0,26,2,55.0,1,63.0,1.0,8570.82,Sangat Tinggi,2
552.02,0,6,0,44.0,1,100.0,1.0,522.08,Sangat Tinggi,0
377.12,1,15,0,34.0,1,61.0,1.0,836.67,Sangat Tinggi,3
204.56,0,36,1,18.0,3,179.0,1.0,364.72,Tinggi,3
420.28,1,42,1,35.0,0,144.0,1.0,8557.32,Sangat Tinggi,2
124.59,1,5,1,27.0,3,171.0,1.0,129.29,Sedang,3
73.88,1,5,2,39.0,0,34.0,1.0,6474.41,Rendah,2
245.93,1,14,1,54.0,1,172.0,1.0,7986.63,Tinggi,4
622.41,1,16,0,64.0,0,125.0,1.0,7322.01,Sangat Tinggi,0
43.73,1,29,0,34.0,0,145.0,1.0,9929.43,Rendah,2
2.03,0,11,0,33.0,1,28.0,1.0,3012.31,Rendah,3
770.65,1,17,2,31.0,0,137.0,1.0,7198.8,Sangat Tinggi,0
260.31,1,2,1,63.0,0,113.0,1.0,10980.38,Tinggi,2
356.1,0,13,1,26.0,3,187.0,1.0,868.35,Tinggi,3
27.07,0,41,1,80.0,2,39.0,1.0,3773.29,Rendah,1
119.89,1,40,0,67.0,0,60.0,1.0,6697.77,Sedang,1
106.39,1,41,2,37.0,0,281.0,1.0,9410.99,Sedang,4
12.04,1,13,2,37.0,1,58.0,1.0,6213.32,Rendah,2
29.38,0,3,1,28.0,3,63.0,1.0,1663.31,Rendah,3
319.85,1,10,0,60.0,0,148.0,1.0,711.66,Tinggi,1
350.14,0,20,2,75.0,2,38.0,1.0,2403.25,Tinggi,1
163.94,0,41,1,52.0,2,73.0,1.0,5957.37,Sedang,1
170.53,1,28,1,24.0,3,58.0,1.0,801.01,Sedang,3
41.49,1,0,2,24.0,3,13.0,1.0,928.33,Rendah,3
121.43,0,34,1,52.0,1,243.0,1.0,7365.28,Sedang,4
350.46,1,26,1,51.0,2,165.0,1.0,5839.38,Tinggi,4
220.41,0,12,2,26.0,1,155.0,1.0,5116.98,Tinggi,3
33.46,1,39,0,72.0,2,111.0,1.0,3641.07,Rendah,1
104.79,1,10,0,70.0,0,223.0,1.0,1352.19,Sedang,4
246.27,1,14,2,29.0,0,141.0,1.0,7299.86,Tinggi,2
48.85,1,9,0,19.0,3,176.0,1.0,1503.56,Rendah,3
332.0,1,5,0,69.0,2,17.0,1.0,5943.13,Tinggi,1
118.1,1,22,2,54.0,1,167.0,1.0,895.66,Sedang,1
84.59,0,19,1,67.0,0,10.0,1.0,5669.1,Sedang,1
295.64,1,17,2,21.0,3,82.0,1.0,1061.96,Tinggi,3
514.33,1,30,1,25.0,3,160.0,1.0,1592.94,Sangat Tinggi,0
94.59,1,42,2,39.0,0,34.0,1.0,6171.89,Sedang,2
80.43,1,8,1,59.0,2,157.0,1.0,5987.67,Sedang,1
54.25,1,41,2,68.0,0,37.0,1.0,14783.33,Rendah,2
518.85,1,18,2,22.0,3,82.0,1.0,1806.0,Sangat Tinggi,0
10.65,1,21,2,54.0,0,161.0,1.0,13240.72,Rendah,2
107.03,1,24,1,27.0,3,73.0,1.0,1408.07,Sedang,3
346.11,1,9,1,41.0,1,213.0,1.0,9551.64,Tinggi,4
138.06,1,5,1,44.0,1,159.0,1.0,1070.47,Sedang,3
158.02,1,27,0,49.0,1,120.0,1.0,9374.24,Sedang,2
830.01,0,6,2,66.0,2,96.0,1.0,4253.18,Sangat Tinggi,0
110.49,1,33,2,57.0,0,48.0,1.0,10483.93,Sedang,2
329.4,1,10,2,34.0,0,68.0,1.0,9588.07,Tinggi,2
635.4,1,10,0,47.0,0,106.0,1.0,1238.11,Sangat Tinggi,0
769.97,1,36,1,22.0,3,23.0,1.0,1244.93,Sangat Tinggi,0
175.07,1,7,1,26.0,3,169.0,1.0,1040.25,Sedang,3
7.31,1,19,1,78.0,2,282.0,1.0,5757.67,Rendah,4
56.12,1,12,0,30.0,0,102.0,1.0,8839.67,Rendah,2
424.7,0,24,2,56.0,2,178.0,1.0,6239.89,Sangat Tinggi,4
35.73,1,24,1,65.0,0,87.0,1.0,9073.17,Rendah,1
3.44,1,13,0,78.0,2,108.0,1.0,7561.33,Rendah,1
139.03,0,20,2,50.0,1,81.0,1.0,2276.57,Sedang,1
254.92,0,35,0,28.0,1,169.0,1.0,2791.12,Tinggi,3
115.11,1,0,2,28.0,1,139.0,1.0,9808.97,Sedang,2
171.11,1,37,0,57.0,2,171.0,1.0,6324.09,Sedang,1
408.46,1,33,1,64.0,2,28.0,1.0,3140.79,Sangat Tinggi,1
342.17,0,27,1,21.0,3,247.0,1.0,461.83,Tinggi,4
580.71,1,30,0,53.0,1,95.0,1.0,5670.0,Sangat Tinggi,0
821.54,0,1,1,79.0,2,36.0,1.0,4040.32,Sangat Tinggi,0
253.47,1,1,1,20.0,3,238.0,1.0,220.51,Tinggi,4
22.81,1,27,2,62.0,2,75.0,1.0,3634.76,Rendah,1
266.57,0,4,2,39.0,1,96.0,1.0,7180.48,Tinggi,2
374.61,0,23,2,75.0,2,37.0,1.0,1389.71,Sangat Tinggi,1
339.35,0,4,0,78.0,2,70.0,1.0,5002.7,Tinggi,1
810.36,1,8,0,20.0,3,67.0,1.0,9239.12,Sangat Tinggi,0
9.83,1,22,0,24.0,3,86.0,1.0,666.42,Rendah,3
135.57,0,4,1,51.0,0,116.0,1.0,11351.64,Sedang,2
340.05,1,11,0,43.0,1,37.0,1.0,7234.15,Tinggi,2
283.45,1,7,1,27.0,1,127.0,1.0,2049.51,Tinggi,3
100.99,1,27,0,68.0,0,114.0,1.0,8865.27,Sedang,1
90.88,1,0,1,18.0,3,176.0,1.0,3908.47,Sedang,3
655.15,1,39,0,26.0,1,264.0,1.0,5587.44,Sangat Tinggi,4
320.55,1,25,2,50.0,1,118.0,1.0,438.75,Tinggi,1
41.51,1,31,2,28.0,3,48.0,1.0,609.6,Rendah,3
71.53,0,17,1,68.0,2,39.0,1.0,2393.73,Rendah,1
467.13,0,18,1,54.0,2,45.0,1.0,3914.84,Sangat Tinggi,0
235.4,1,11,1,28.0,3,70.0,1.0,818.36,Tinggi,3
159.32,1,39,1,18.0,3,100.0,1.0,304.44,Sedang,3
50.83,0,30,2,30.0,0,48.0,1.0,9553.42,Rendah,2
56.89,0,15,1,59.0,1,56.0,1.0,3034.67,Rendah,1
20.22,1,17,0,43.0,1,138.0,1.0,5515.32,Rendah,1
50.4,1,35,1,36.0,0,84.0,1.0,1677.01,Rendah,3
73.88,1,20,1,53.0,2,131.0,1.0,4055.55,Rendah,1
119.61,1,36,0,33.0,0,53.0,1.0,9899.94,Sedang,2
116.58,1,33,1,43.0,1,247.0,1.0,2620.74,Sedang,4
156.26,0,41,1,46.0,1,160.0,1.0,7854.1,Sedang,2
427.0,0,28,1,49.0,1,163.0,1.0,8253.65,Sangat Tinggi,2
67.57,1,5,1,37.0,1,107.0,1.0,2766.12,Rendah,3
326.29,1,10,2,56.0,1,179.0,1.0,8171.26,Tinggi,4
158.56,1,34,0,33.0,0,100.0,1.0,5401.21,Sedang,3
56.02,1,22,2,27.0,3,142.0,1.0,3548.02,Rendah,3
245.67,0,32,1,24.0,3,107.0,1.0,752.25,Tinggi,3
114.35,0,12,1,41.0,1,21.0,1.0,469.12,Sedang,3
504.63,1,32,2,60.0,1,168.0,1.0,3806.16,Sangat Tinggi,0
820.15,1,18,1,47.0,0,181.0,1.0,8802.97,Sangat Tinggi,0
8.37,1,7,0,63.0,2,135.0,1.0,1106.34,Rendah,1
197.49,0,14,2,53.0,2,30.0,1.0,5005.33,Sedang,1
637.97,1,27,1,58.0,2,90.0,1.0,7949.03,Sangat Tinggi,0
13.52,1,39,0,26.0,3,65.0,1.0,259.77,Rendah,3
432.1,1,37,0,49.0,1,240.0,1.0,2114.3,Sangat Tinggi,4
642.68,1,14,1,50.0,0,94.0,1.0,8461.46,Sangat Tinggi,0
78.44,0,38,2,52.0,2,292.0,1.0,6870.84,Rendah,4
139.72,1,22,1,49.0,1,201.0,1.0,5058.83,Sedang,4
499.99,1,38,1,31.0,1,296.0,1.0,8885.0,Sangat Tinggi,4
10.07,1,0,2,24.0,3,49.0,1.0,530.81,Rendah,3
120.62,1,33,0,23.0,3,85.0,1.0,9379.53,Sedang,2
578.49,1,26,1,59.0,2,180.0,1.0,6475.13,Sangat Tinggi,0
280.92,1,31,2,41.0,0,168.0,1.0,5298.85,Tinggi,4
42.42,1,34,2,21.0,3,102.0,1.0,490.57,Rendah,3
77.03,1,14,0,67.0,0,259.0,1.0,11310.27,Rendah,4
22.59,1,39,0,62.0,2,45.0,1.0,3988.75,Rendah,1
568.76,1,3,0,51.0,2,155.0,1.0,7484.32,Sangat Tinggi,0
105.94,1,28,1,51.0,1,207.0,1.0,5963.1,Sedang,4
350.15,0,14,0,21.0,3,195.0,1.0,296.47,Tinggi,3
183.67,1,36,2,19.0,3,238.0,1.0,910.26,Sedang,4
278.27,1,40,1,29.0,0,123.0,1.0,6684.34,Tinggi,2
470.3,1,2,0,40.0,0,88.0,1.0,8524.09,Sangat Tinggi,0
261.69,1,30,0,53.0,2,84.0,1.0,5126.65,Tinggi,1
365.04,1,41,1,22.0,3,94.0,1.0,873.89,Tinggi,3
211.1,1,24,1,57.0,2,136.0,1.0,7059.77,Tinggi,1
21.49,1,10,0,58.0,0,240.0,1.0,11991.24,Rendah,4
63.58,1,8,0,18.0,3,199.0,1.0,8086.04,Rendah,4
321.86,1,35,0,63.0,0,167.0,1.0,12626.49,Tinggi,2
642.54,1,25,1,44.0,1,28.0,1.0,3143.17,Sangat Tinggi,0
313.65,0,6,1,55.0,2,173.0,1.0,1886.36,Tinggi,4
99.76,1,34,1,26.0,3,131.0,1.0,416.89,Sedang,3
115.32,1,10,1,53.0,2,113.0,1.0,5929.08,Sedang,1
33.61,1,25,2,23.0,3,72.0,1.0,479.08,Rendah,3
498.59,0,28,2,33.0,0,32.0,1.0,5862.99,Sangat Tinggi,0
98.81,1,37,1,27.0,3,91.0,1.0,797.1,Sedang,3
1.87,1,42,0,65.0,2,147.0,1.0,7287.94,Rendah,1
78.92,0,17,2,59.0,1,95.0,1.0,5624.86,Rendah,1
194.29,0,39,1,39.0,1,10.0,1.0,2988.41,Sedang,3
105.53,1,7,2,24.0,3,88.0,1.0,1433.66,Sedang,3
737.34,1,24,2,30.0,0,34.0,1.0,7336.56,Sangat Tinggi,0
237.86,1,30,0,18.0,3,210.0,1.0,475.63,Tinggi,3
409.61,1,18,1,65.0,0,89.0,1.0,11698.15,Sangat Tinggi,2
75.53,0,14,2,21.0,3,157.0,1.0,1034.35,Rendah,3
72.75,1,31,0,64.0,0,15.0,1.0,12042.79,Rendah,2
39.11,1,8,2,26.0,3,143.0,1.0,518.54,Rendah,3
729.38,1,20,0,68.0,0,90.0,1.0,9127.65,Sangat Tinggi,0
137.49,1,13,0,34.0,1,50.0,1.0,4471.05,Sedang,3
504.71,1,11,2,29.0,1,61.0,1.0,6214.54,Sangat Tinggi,0
371.47,0,25,1,24.0,3,58.0,1.0,1187.04,Tinggi,3
430.35,1,5,2,36.0,0,205.0,1.0,354.9,Sangat Tinggi,4
230.32,1,19,1,35.0,1,56.0,1.0,791.46,Tinggi,3
121.71,1,6,0,52.0,2,140.0,1.0,5878.89,Sedang,1
98.87,1,11,2,20.0,3,179.0,1.0,533.2,Sedang,3
117.55,1,14,0,24.0,3,35.0,1.0,897.94,Sedang,3
244.64,1,40,1,30.0,0,103.0,1.0,9159.56,Tinggi,2
321.93,1,26,0,45.0,1,12.0,1.0,4392.73,Tinggi,1
346.65,1,42,2,30.0,1,60.0,1.0,6356.96,Tinggi,3
388.65,1,28,0,76.0,2,43.0,1.0,7896.85,Sangat Tinggi,1
29.22,1,35,0,24.0,3,151.0,1.0,1649.43,Rendah,3
46.75,1,7,1,67.0,2,150.0,1.0,2840.43,Rendah,1
348.64,1,38,2,57.0,2,128.0,1.0,3274.96,Tinggi,1
319.17,1,40,2,73.0,2,81.0,1.0,6501.56,Tinggi,1
73.95,1,18,0,26.0,3,76.0,1.0,363.92,Rendah,3
389.63,1,23,2,27.0,1,99.0,1.0,9748.48,Sangat Tinggi,2
217.61,1,6,0,19.0,3,45.0,1.0,1404.53,Tinggi,3
199.84,1,9,0,21.0,3,150.0,1.0,706.44,Tinggi,3
56.35,1,5,0,44.0,0,75.0,1.0,5095.73,Rendah,1
248.95,0,37,1,65.0,2,29.0,1.0,3059.79,Tinggi,1
142.58,1,35,0,33.0,1,145.0,1.0,7844.23,Sedang,2
333.78,1,36,0,60.0,2,98.0,1.0,6810.94,Tinggi,1
332.59,1,35,2,55.0,2,143.0,1.0,1457.07,Tinggi,1
236.81,1,28,1,22.0,3,15.0,1.0,813.68,Tinggi,3
417.8,0,30,1,27.0,3,130.0,1.0,1518.82,Sangat Tinggi,3
319.27,1,35,0,50.0,0,150.0,1.0,10269.78,Tinggi,2
820.62,0,14,1,61.0,0,158.0,1.0,6024.8,Sangat Tinggi,0
474.77,0,16,2,56.0,1,50.0,1.0,2158.59,Sangat Tinggi,0
542.72,0,16,1,43.0,0,92.0,1.0,6011.8,Sangat Tinggi,0
79.8,1,13,0,73.0,2,76.0,1.0,6372.58,Sedang,1
46.24,1,36,1,57.0,1,52.0,1.0,2569.56,Rendah,1
327.8,1,37,0,61.0,0,54.0,1.0,10585.48,Tinggi,2
445.79,1,19,0,52.0,0,161.0,1.0,717.99,Sangat Tinggi,0
55.89,1,14,2,72.0,2,150.0,1.0,3689.65,Rendah,1
158.41,1,34,1,28.0,3,16.0,1.0,1512.16,Sedang,3
101.19,0,10,2,64.0,0,75.0,1.0,14389.45,Sedang,2
61.97,1,31,0,74.0,2,95.0,1.0,7014.69,Rendah,1
27.21,1,38,0,79.0,2,102.0,1.0,3520.61,Rendah,1
173.74,1,15,2,80.0,2,64.0,1.0,4913.42,Sedang,1
176.11,1,38,1,38.0,1,105.0,1.0,9155.35,Sedang,2
88.4,1,13,2,46.0,1,174.0,1.0,2567.53,Sedang,4
567.92,1,8,2,53.0,2,14.0,1.0,3779.47,Sangat Tinggi,0
138.11,0,31,2,68.0,2,104.0,1.0,4177.65,Sedang,1
456.93,0,41,1,28.0,1,193.0,1.0,7284.76,Sangat Tinggi,4
101.42,1,1,2,66.0,2,146.0,1.0,6530.59,Sedang,1
300.61,1,12,2,44.0,0,51.0,1.0,7895.54,Tinggi,2
265.94,1,4,2,54.0,1,132.0,1.0,6781.3,Tinggi,1
345.54,1,36,2,29.0,1,50.0,1.0,2091.78,Tinggi,3
411.52,1,20,0,41.0,0,88.0,1.0,11108.39,Sangat Tinggi,2
111.21,1,32,1,35.0,0,111.0,1.0,9088.36,Sedang,2
316.37,1,7,0,53.0,1,86.0,1.0,4671.69,Tinggi,1
260.63,1,13,1,37.0,1,142.0,1.0,7534.73,Tinggi,2
92.36,1,9,0,29.0,1,144.0,1.0,6353.14,Sedang,3
262.06,1,28,1,63.0,0,118.0,1.0,13587.52,Tinggi,2
64.5,1,10,0,74.0,2,230.0,1.0,1351.24,Rendah,4
175.94,1,16,0,57.0,2,89.0,1.0,3728.04,Sedang,1
199.47,1,11,2,57.0,0,142.0,1.0,6067.44,Sedang,1
51.07,1,9,1,63.0,2,133.0,1.0,4292.16,Rendah,1
435.86,1,17,0,56.0,2,134.0,1.0,3801.82,Sangat Tinggi,0
74.73,0,17,1,64.0,2,162.0,1.0,6353.22,Rendah,1
182.79,0,21,2,23.0,3,14.0,1.0,1251.85,Sedang,3
628.36,1,2,2,44.0,0,108.0,1.0,11869.71,Sangat Tinggi,0
268.39,1,35,2,29.0,0,177.0,1.0,9409.43,Tinggi,2
560.15,0,22,2,50.0,1,92.0,1.0,817.83,Sangat Tinggi,0
132.36,1,7,1,28.0,3,160.0,1.0,319.65,Sedang,3
24.77,0,26,2,40.0,1,17.0,1.0,478.23,Rendah,3
80.24,0,27,1,53.0,0,58.0,1.0,8012.81,Sedang,2
8.65,1,23,0,68.0,2,198.0,1.0,4201.22,Rendah,1
178.91,1,29,0,18.0,3,19.0,1.0,8870.89,Sedang,2
115.22,1,37,1,27.0,1,108.0,1.0,906.2,Sedang,3
161.63,1,38,2,46.0,0,276.0,1.0,9286.37,Sedang,4
542.75,0,26,1,70.0,2,63.0,1.0,2224.08,Sangat Tinggi,0
317.47,0,34,2,67.0,0,16.0,1.0,14639.28,Tinggi,2
280.99,1,15,1,45.0,1,29.0,1.0,9733.59,Tinggi,2
24.19,1,36,0,29.0,1,28.0,1.0,2756.2,Rendah,3
372.41,1,36,0,55.0,2,143.0,1.0,3233.87,Tinggi,1
247.17,0,6,1,65.0,2,149.0,1.0,2611.64,Tinggi,1
48.78,0,18,1,18.0,3,136.0,1.0,552.06,Rendah,3
4.15,0,29,1,60.0,2,119.0,1.0,6017.36,Rendah,1
60.99,1,28,1,34.0,1,58.0,1.0,7281.46,Rendah,2
408.19,1,23,1,26.0,1,241.0,1.0,6847.47,Sangat Tinggi,4
524.6,1,12,1,58.0,0,76.0,1.0,13017.7,Sangat Tinggi,2
108.96,1,25,0,26.0,3,247.0,1.0,7597.66,Sedang,4
70.03,1,26,1,63.0,2,49.0,1.0,7330.31,Rendah,1
324.04,1,41,0,54.0,2,30.0,1.0,2248.06,Tinggi,1
39.69,1,2,2,70.0,2,163.0,1.0,3524.68,Rendah,1
81.27,0,39,2,22.0,3,68.0,1.0,1814.48,Sedang,3
193.82,1,18,1,37.0,1,176.0,1.0,3886.77,Sedang,4
474.05,1,38,0,57.0,2,214.0,1.0,1484.31,Sangat Tinggi,4
637.75,1,9,1,79.0,2,152.0,1.0,4202.92,Sangat Tinggi,0
153.59,0,32,1,66.0,2,174.0,1.0,4813.12,Sedang,1
186.6,1,40,1,18.0,3,139.0,1.0,9716.68,Sedang,2
644.08,1,1,2,24.0,3,55.0,1.0,1980.62,Sangat Tinggi,0
305.0,1,31,0,22.0,3,222.0,1.0,944.83,Tinggi,4
233.1,0,26,1,42.0,0,37.0,1.0,7469.2,Tinggi,2
793.13,1,22,2,68.0,0,76.0,1.0,13389.16,Sangat Tinggi,0
224.19,1,15,0,52.0,0,93.0,1.0,8475.47,Tinggi,2
214.83,0,40,0,23.0,3,63.0,1.0,991.69,Tinggi,3
163.46,0,3,1,63.0,2,111.0,1.0,6953.8,Sedang,1
194.99,1,17,1,34.0,1,91.0,1.0,1370.03,Sedang,3
227.5,1,34,2,34.0,0,277.0,1.0,11505.35,Tinggi,4
259.9,1,28,2,26.0,3,100.0,1.0,914.28,Tinggi,3
59.51,0,9,2,36.0,0,55.0,1.0,9955.88,Rendah,2
112.94,0,35,2,73.0,2,31.0,1.0,3807.84,Sedang,1
11.81,1,31,0,21.0,3,131.0,1.0,320.25,Rendah,3
329.14,1,34,1,55.0,0,14.0,1.0,12033.92,Tinggi,2
154.24,1,23,0,61.0,2,82.0,1.0,6109.55,Sedang,1
233.44,1,6,2,20.0,3,297.0,1.0,1691.88,Tinggi,4
98.71,1,13,0,32.0,0,117.0,1.0,10095.23,Sedang,2
87.38,1,1,1,21.0,3,252.0,1.0,1504.99,Sedang,4
83.39,1,29,1,32.0,0,158.0,1.0,13182.11,Sedang,2
267.55,1,5,2,46.0,1,40.0,1.0,4330.04,Tinggi,1
870.05,1,12,0,29.0,0,39.0,1.0,905.25,Sangat Tinggi,0
164.51,1,21,1,78.0,2,110.0,1.0,3553.69,Sedang,1
758.12,1,37,0,69.0,2,90.0,1.0,6164.65,Sangat Tinggi,0
103.76,1,18,2,28.0,1,188.0,1.0,9626.14,Sedang,2
583.92,1,18,2,55.0,1,139.0,1.0,6364.14,Sangat Tinggi,0
204.06,1,42,2,77.0,2,159.0,1.0,4351.83,Tinggi,1
53.51,1,27,2,56.0,2,165.0,1.0,5773.5,Rendah,1
120.17,1,32,0,49.0,0,105.0,1.0,5403.79,Sedang,1
220.8,1,16,2,31.0,1,28.0,1.0,8135.31,Tinggi,2
119.01,1,30,0,45.0,0,87.0,1.0,9798.26,Sedang,2
183.32,1,33,0,21.0,3,74.0,1.0,137.42,Sedang,3
858.88,1,17,2,60.0,1,227.0,1.0,7015.46,Sangat Tinggi,0
11.46,0,37,2,41.0,1,128.0,1.0,2356.71,Rendah,3
61.37,1,8,1,75.0,2,164.0,1.0,4294.44,Rendah,1
103.08,0,25,1,49.0,1,150.0,1.0,9251.38,Sedang,2
425.18,0,7,2,26.0,1,172.0,1.0,9880.71,Sangat Tinggi,2
60.96,1,7,0,52.0,2,238.0,1.0,6189.24,Rendah,4
64.21,1,29,0,51.0,0,37.0,1.0,12540.18,Rendah,2
523.02,1,17,2,53.0,2,83.0,1.0,4586.11,Sangat Tinggi,0
50.26,1,19,1,65.0,2,164.0,1.0,1519.38,Rendah,1
110.08,1,11,1,19.0,3,95.0,1.0,1447.26,Sedang,3
54.47,0,30,1,23.0,3,34.0,1.0,1131.42,Rendah,3
79.76,1,18,2,68.0,0,115.0,1.0,10278.75,Sedang,2
16.79,0,11,2,30.0,0,146.0,1.0,535.15,Rendah,3
68.62,1,29,1,29.0,0,157.0,1.0,13891.47,Rendah,2
643.38,0,11,2,18.0,3,105.0,1.0,1046.74,Sangat Tinggi,0
328.34,0,36,2,42.0,1,31.0,1.0,2840.45,Tinggi,3
72.68,1,39,2,69.0,2,44.0,1.0,6216.77,Rendah,1
354.76,1,11,1,51.0,0,279.0,1.0,10141.92,Tinggi,4
793.88,0,20,0,22.0,3,252.0,1.0,1404.06,Sangat Tinggi,0
29.22,1,11,0,27.0,1,69.0,1.0,7795.79,Rendah,2
366.43,0,32,2,21.0,3,92.0,1.0,1560.45,Tinggi,3
233.74,1,4,2,72.0,2,142.0,1.0,4749.54,Tinggi,1
471.84,1,33,0,18.0,3,138.0,1.0,1044.33,Sangat Tinggi,3
213.4,0,13,1,73.0,2,100.0,1.0,2012.24,Tinggi,1
254.21,1,31,0,48.0,1,46.0,1.0,2487.2,Tinggi,1
577.73,1,38,0,37.0,0,63.0,1.0,14977.99,Sangat Tinggi,2
170.26,1,6,0,27.0,3,265.0,1.0,1969.48,Sedang,4
330.61,0,26,1,64.0,2,113.0,1.0,2525.25,Tinggi,1
132.33,0,31,0,35.0,1,47.0,1.0,7457.94,Sedang,2
74.04,1,22,2,18.0,3,66.0,1.0,1690.23,Rendah,3
197.18,1,40,2,28.0,1,135.0,1.0,3114.92,Sedang,3
697.82,1,27,2,44.0,1,153.0,1.0,6824.0,Sangat Tinggi,0
148.0,1,40,1,20.0,3,35.0,1.0,1488.65,Sedang,3
22.26,1,35,1,19.0,3,56.0,1.0,5583.88,Rendah,3
0.86,1,7,0,25.0,3,139.0,1.0,1357.22,Rendah,3
757.1,1,1,1,65.0,0,203.0,1.0,10553.23,Sangat Tinggi,0
38.81,0,41,2,25.0,3,145.0,1.0,1619.6,Rendah,3
32.46,1,5,2,31.0,0,10.0,1.0,8656.18,Rendah,2
20.64,1,5,1,22.0,3,59.0,1.0,949.38,Rendah,3
662.11,1,1,1,23.0,3,219.0,1.0,1996.38,Sangat Tinggi,0
35.05,1,4,1,30.0,0,105.0,1.0,14330.47,Rendah,2
214.73,0,20,0,46.0,0,26.0,1.0,5368.42,Tinggi,1
25.38,1,21,1,57.0,1,66.0,1.0,8616.05,Rendah,2
617.66,1,22,0,41.0,1,40.0,1.0,5906.58,Sangat Tinggi,0
446.39,1,15,0,63.0,2,77.0,1.0,7863.6,Sangat Tinggi,1
377.92,1,33,1,33.0,1,204.0,1.0,2254.71,Sangat Tinggi,4
11.04,1,31,2,30.0,1,43.0,1.0,6983.04,Rendah,2
275.46,1,13,0,36.0,0,67.0,1.0,9697.75,Tinggi,2
179.76,1,30,2,78.0,2,81.0,1.0,5909.52,Sedang,1
32.34,1,18,1,44.0,0,45.0,1.0,7847.62,Rendah,2
273.92,1,32,1,79.0,2,109.0,1.0,4543.56,Tinggi,1
388.98,1,14,0,23.0,3,155.0,1.0,1819.91,Sangat Tinggi,3
492.84,1,16,0,25.0,3,38.0,1.0,577.67,Sangat Tinggi,3
148.85,1,23,0,57.0,0,25.0,1.0,7802.36,Sedang,1
185.99,0,14,1,41.0,1,53.0,1.0,402.45,Sedang,3
